"sku","name"
"BE3058-3","Burberry BE3058 10058G Silvers Grey/Gradient"
"BE3058-4","Burberry BE3058 101113 Copper/Brown Gradient"
"BE3059-1","Burberry BE3059 100318 Gunmetal Green /Yellow Gradient"
"BE3059-2","Burberry BE3059 100511 Silver/ Grey Gradient"
"BE3059-3","Burberry BE3059 101113 Copper/ Brown Gradient"
"BE3059-4","Burberry BE3059 10113D Copper Beige Mirror/Silver Gradient"
"BE3060-1","Burberry BE3060 100313 Gunmetal/ Brown Gradient"
"BE3060-2","Burberry BE3060 114313 Bronzed Silver/ Brown Gradient"
"BE3060-3","Burberry BE3060 114373 Bronzed Silver/ Brown "
"BE3060-4","Burberry BE3060 11452L Burberry Gold/ Brown Gradient"
"BE3061-1","Burberry BE3061 114381 Bronzed Silver/Polarized Grey"
"BE3061-2","Burberry BE3061 100313 Gunmetal/Brown Gradient"
"BE3061-3","Burberry BE3061 10078G Matte Black Grey Gradient"
"BE3061-4","Burberry BE3061 114471 Dark Nickel/Green"
"BE3061-5","Burberry BE3061 114513 Burberry Gold/ Brown Gradient"
"BE3061-6","Burberry BE3061 114573 Burberry Gold/ Brown"
"BE3061-7","Burberry BE3061 115661 Brushed Dark Silver Grey Gradient/Silver "
"BE3062-1","Burberry BE3062 114381 Bronzed Silver/ Polarized Grey"
"BE3062-2","Burberry BE3062 100313 Gunmetal/Brown Gradient"
"BE3062-3","Burberry BE3062 10078G Matte Black/Grey Gradient"
"BE3062-4","Burberry BE3062 114471 Dark Nickel/Green"
"BE3062-5","Burberry BE3062 114513 Burberry Gold/Brown Gradient"
"BE3062-6","Burberry BE3062 114573 Burberry Gold/Brown"
"BE3062-7","Burberry BE3062 115761 White Grey Mirror/Silver Gradient"
"BE4058M-1","Burberry BE4058M 300187 Shiny Black/Grey"
"BE4058M-2","Burberry BE4058M 309211 Transparent Dark Blue/ Grey Gradient"
"BE4058M-3","Burberry BE4058M 31388H Plum Violet/ Violet Gradient"
